Status,Localidade,People,Usuário,Tipo de acesso,Operadora,Número (Designação),Valor Fidelizado,Centro de custo,Velocidade,Data Ativação,Data Desativação,vd,Obs. Acesso
ATIVO,LOJA,428,VD428 - DSP PARQUE IBIRAPUERA,DADOS,VIVO,110000161044497,,2004280000,0 MB,,,,
ATIVO,Não informado,428,VD428 - DSP PARQUE IBIRAPUERA,MONITORA DADOS,VIVO,110000196113195,20,2004280000,,,,,
ATIVO,LOJA,428,VD428 - DSP PARQUE IBIRAPUERA,VPN IP MPLS,VIVO,110005549740499,380,2004280000,10 MBPS,,,,
ATIVO,Não informado,428,VD428 - DSP PARQUE IBIRAPUERA,DADOS,VIVO,5549740499,,2004280000,,,,,
ATIVO,LOJA,428,VD428 - DSP PARQUE IBIRAPUERA,INN,EMBRATEL,SPO_IP_82769,297.06,2004280000,4 MB,,,,DADOS
ATIVO,LOJA,427,VD427 - DSP SHOPPING DOM PEDRO,DADOS,VIVO,111350142344893,44.17,2004270000,0 MB,,,,
ATIVO,Não informado,427,VD427 - DSP SHOPPING DOM PEDRO,MONITORA DADOS,VIVO,111350201952891,12.34,2004270000,,,,,
ATIVO,LOJA,427,VD427 - DSP SHOPPING DOM PEDRO,VPN IP MPLS,VIVO,111353209001090,367.53,2004270000,10 MBPS,,,,
ATIVO,Não informado,427,VD427 - DSP SHOPPING DOM PEDRO,DADOS,VIVO,3209001090,,2004270000,,,,,
ATIVO,LOJA,427,VD427 - DSP SHOPPING DOM PEDRO,INN,EMBRATEL,CAS_IP_30734,278.99,2004270000,4 MB,,,,2004270000
ATIVO,LOJA,426,VD426 - DSP ALFONSO BOVERO II,DADOS,VIVO,110000160812394,43.34,2004260000,0 MB,,,,
ATIVO,Não informado,426,VD426 - DSP ALFONSO BOVERO II,MONITORA DADOS,VIVO,110000201881593,12.67,2004260000,,,,,
ATIVO,LOJA,426,VD426 - DSP ALFONSO BOVERO II,VPN IP MPLS,VIVO,110003673535498,364.94,2004260000,10 MBPS,,,,
ATIVO,LOJA,426,VD426 - DSP ALFONSO BOVERO II,INN,EMBRATEL,SPO_IP_87052,278.99,2004260000,4 MB,,,,2004260000
ATIVO,LOJA,425,VD425 - DSP GRANJA VIANA II,DADOS,VIVO,111760160342298,,2004250000,0 MB,,,,
ATIVO,Não informado,425,VD425 - DSP GRANJA VIANA II,MONITORA DADOS,VIVO,111760194979398,20,2004250000,,,,,
ATIVO,LOJA,425,VD425 - DSP GRANJA VIANA II,VPN IP MPLS,VIVO,111764612033699,380,2004250000,10 MBPS,,,,
ATIVO,Não informado,425,VD425 - DSP GRANJA VIANA II,DADOS,VIVO,4612033699,,2004250000,,,,,
ATIVO,LOJA,425,VD425 - DSP GRANJA VIANA II,INN,EMBRATEL,COA_IP_01285,128.74,2004250000,4 MB,,,,2004250000
ATIVO,LOJA,424,VD424 - DSP SHOPPING ARICANDUVA I,DADOS,VIVO,110000160841396,,2004240000,0 MB,,,,
ATIVO,Não informado,424,VD424 - DSP SHOPPING ARICANDUVA I,MONITORA DADOS,VIVO,110000195252695,20,2004240000,,,,,
ATIVO,LOJA,424,VD424 - DSP SHOPPING ARICANDUVA I,VPN IP MPLS,VIVO,110002253950699,380,2004240000,10 MBPS,,,,
ATIVO,Não informado,424,VD424 - DSP SHOPPING ARICANDUVA I,DADOS,VIVO,2253950699,,2004240000,,,,,
ATIVO,LOJA,424,VD424 - DSP SHOPPING ARICANDUVA I,INN,EMBRATEL,SPO_IP_84203,475.26,2004240000,4 MB,,,,DADOS
ATIVO,LOJA,423,VD423 - DSP VILAS DO ATLANTICO,DADOS,VIVO,714070149586195,,2009000401,,,,,
ATIVO,LOJA,423,VD423 - DSP VILAS DO ATLANTICO,DADOS,VIVO,714070151466896,,2009000401,,,,,
CANCELADO,LOJA,423,VD423 - DSP VILAS DO ATLANTICO,VPN IP MPLS,VIVO,714070160317295,,2009000401,10 MB,,9/27/2023,,E-mail 06/02/2024 Luciana Avanti
ATIVO,LOJA,423,VD423 - DSP VILAS DO ATLANTICO,DADOS,VIVO,714070160340990,,2009000401,0 MB,,,,
ATIVO,LOJA,422,VD422 - DSP CELSO GARCIA II,DADOS,VIVO,110000160984998,,2004220000,0 MB,,,,
ATIVO,Não informado,422,VD422 - DSP CELSO GARCIA II,MONITORA DADOS,VIVO,110000196044098,20,2004220000,,,,,
CANCELADO,LOJA,422,VD422 - DSP CELSO GARCIA II,VPN IP MPLS,VIVO,110002296060296,380,2004220000,10 MBPS,,,,
CANCELADO,LOJA,422,VD422 - DSP CELSO GARCIA II,DADOS,VIVO,2296060296,,2004220000,,,,,
ATIVO,LOJA,422,VD422 - DSP CELSO GARCIA II,INN,EMBRATEL,SPO_IP_87269,278.99,2004220000,4 MB,,,,2004220000
ATIVO,LOJA,421,VD421 - DSP ALPHAVILLE V,DADOS,VIVO,110710160108894,,2004210000,0 MB,,,,
ATIVO,Não informado,421,VD421 - DSP ALPHAVILLE V,DADOS,VIVO,110710167933892,,2004210000,,,,,
ATIVO,Não informado,421,VD421 - DSP ALPHAVILLE V,MONITORA DADOS,VIVO,110710195109590,20,2004210000,,,,,
ATIVO,Não informado,421,VD421 - DSP ALPHAVILLE V,VPN IP MPLS,VIVO,110714191274391,380,2004210000,10 MBPS,,,,
ATIVO,LOJA,421,VD421 - DSP ALPHAVILLE V,DADOS,VIVO,110714191951695,,2004210000,10 MB,,,,
ATIVO,LOJA,421,VD421 - DSP ALPHAVILLE V,INN,EMBRATEL,BRE_IP_25926,278.99,2004210000,4 MB,,,,2004210000
ATIVO,LOJA,418,VD418 - DSP CARDOSO DE ALMEIDA,DADOS,VIVO,110000160858992,,2004180000,0 MB,,,,
ATIVO,Não informado,418,VD418 - DSP CARDOSO DE ALMEIDA,MONITORA DADOS,VIVO,110000195109394,20,2004180000,,,,,
ATIVO,LOJA,418,VD418 - DSP CARDOSO DE ALMEIDA,VPN IP MPLS,VIVO,110003673635093,380,2004180000,10 MBPS,,,,
ATIVO,LOJA,418,VD418 - DSP CARDOSO DE ALMEIDA,INN,EMBRATEL,SPO_IP_87071,278.99,2004180000,4 MB,,,,2004180000
ATIVO,LOJA,417,VD417 - DSP JARDIM PRESIDENTE DUTRA,DADOS,VIVO,118920160399998,,2004170000,0 MB,,,,
ATIVO,Vendas,417,VD417 - DSP JARDIM PRESIDENTE DUTRA,DADOS,VIVO,118920183303693,,2004170000,,,,,
ATIVO,Não informado,417,VD417 - DSP JARDIM PRESIDENTE DUTRA,MONITORA DADOS,VIVO,118920196087694,20,2004170000,,,,,
ATIVO,Vendas,417,VD417 - DSP JARDIM PRESIDENTE DUTRA,VPN IP MPLS,VIVO,118922431020892,380,2004170000,10 MBPS,,,,
ATIVO,LOJA,417,VD417 - DSP JARDIM PRESIDENTE DUTRA,DADOS,VIVO,118922431021597,,2004170000,10 MB,,,,
ATIVO,Não informado,417,VD417 - DSP JARDIM PRESIDENTE DUTRA,DADOS,VIVO,2431020892,,2004170000,,,,,
ATIVO,LOJA,417,VD417 - DSP JARDIM PRESIDENTE DUTRA,INN,EMBRATEL,GRS_IP_06211,283.68,2004170000,4 MB,,,,DADOS
ATIVO,LOJA,416,VD416 - DSP SAO BENTO,DADOS,VIVO,110000160976092,,2004160000,0 MB,,,,
ATIVO,Não informado,416,VD416 - DSP SAO BENTO,MONITORA DADOS,VIVO,110000195211594,20,2004160000,,,,,
ATIVO,LOJA,416,VD416 - DSP SAO BENTO,VPN IP MPLS,VIVO,110003227068699,380,2004160000,10 MBPS,,,,
ATIVO,Não informado,416,VD416 - DSP SAO BENTO,DADOS,VIVO,3227068699,,2004160000,,,,,
